Account,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
@BBC,0.0,Wed Jul 11 20:39:03 +0000 2018,0.0,1.0,0.0,"It’s not coming home. 💔

But it's been an incredible journey. ♥️

https://t.co/TrqeqzfTUq  #ENG #WorldCup… https://t.co/nCoN5lDJys",1
@BBC,0.0,Wed Jul 11 20:23:23 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: GOAL

Mario Mandzukic drills Croatia in front.

#CRO 2-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport 

#ENGCRO #Wor…",2
@BBC,-0.1027,Wed Jul 11 20:03:46 +0000 2018,0.076,0.924,0.0,"RT @BBCSport: Extra-time it is... and we're underway...

How are your nerves?

#CRO 1-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSpo…",3
@BBC,0.3612,Wed Jul 11 19:52:13 +0000 2018,0.0,0.865,0.135,"Full time: #CRO 1-1 #ENG 

Who's ready for another 30 minutes?

Follow it live: 
📱 https://t.co/TrqeqzfTUq  
📻… https://t.co/CuPZrrxFEW",4
@BBC,-0.296,Wed Jul 11 19:49:56 +0000 2018,0.306,0.694,0.0,RT @BBCBreakfast: No fingernails left... https://t.co/E4oE20owSY,5
@BBC,0.0,Wed Jul 11 19:27:11 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: GOAL 

#CRO 1-1 #ENG 

Ivan Perisic meets a cross to flick Croatia level.

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport htt…",6
@BBC,-0.0191,Wed Jul 11 19:20:29 +0000 2018,0.056,0.944,0.0,"It doesn't matter where you're watching, as long as you're watching. ⚽️⚽️⚽️

Millions of #ENG fans are watching… https://t.co/geST9JHDr4",7
@BBC,0.0,Wed Jul 11 19:16:46 +0000 2018,0.0,1.0,0.0,"RT @5liveSport: Only three men have ever scored for #ENG in a semi-final of a #WorldCup

⚽ Sir Bobby Charlton
⚽ @GaryLineker
⚽ Kieran Tripp…",8
@BBC,0.6705,Wed Jul 11 19:02:33 +0000 2018,0.0,0.776,0.224,"RT @BBCOne: We’re pretty sure that exactly 53% of the population is covered in beer right now 🤔🤗 #ENGCRO #WorldCup

https://t.co/l5UTbo9n7x",9
@BBC,0.3182,Wed Jul 11 19:02:02 +0000 2018,0.0,0.874,0.126,A gripping reimagining of Joan Lindsay's iconic novel that delves into the mysterious disappearances of three schoo… https://t.co/d4nPoQXIYJ,10
@BBC,0.0,Wed Jul 11 18:50:03 +0000 2018,0.0,1.0,0.0,"Half time in Moscow. 

#CRO 0-1 #ENG
￼
Follow:

📱 https://t.co/5KN3TtJ2Zz  
📻 @5livesport

#ENGCRO #WorldCup https://t.co/TVSyyaX8dl",11
@BBC,0.0,Wed Jul 11 18:06:07 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: GOAL!

What a start! What a goal!

Kieran Trippier whips a free-kick right in! 

#CRO 0-1 #ENG 

LIVE: 
📱 https://t.co/C5GtYW…",12
@BBC,0.0,Wed Jul 11 18:00:11 +0000 2018,0.0,1.0,0.0,"It's time. ⚽️

#ENGCRO #worldcup #bbcworldcup https://t.co/A0zRUx5CVK",13
@BBC,0.0,Wed Jul 11 17:57:05 +0000 2018,0.0,1.0,0.0,"Prince Harry knows... #ItsComingHome ️⚽️➡️🏠

#ENGCRO #ENG #WorldCup #ThreeLions 

https://t.co/ouBlfHLWry",14
@BBC,0.0,Wed Jul 11 17:01:04 +0000 2018,0.0,1.0,0.0,"The @BBCEastenders prediction for tonight's #WorldCup semi-final? 

""Ta-ta Croatia!"" 👋😂 @MrDDyer

#ThreeLions… https://t.co/wRv1AlP9s6",15
@BBC,0.0,Wed Jul 11 16:01:05 +0000 2018,0.0,1.0,0.0,"What's that David Attenborough... it's coming home? 🏴󠁧󠁢󠁥󠁮󠁧󠁿️⚽️🏆😆

🔊 Turn your sound on!  🔊

#WorldCup #ThreeLions… https://t.co/fkYYIqg2fO",16
@BBC,0.0,Wed Jul 11 13:03:06 +0000 2018,0.0,1.0,0.0,The National Gallery has acquired its first work by a woman for 27 years. 🖌 https://t.co/WkCtpvqKtN https://t.co/NZRjCCw3z5,17
@BBC,0.5994,Wed Jul 11 11:32:03 +0000 2018,0.0,0.692,0.308,"The last time #ENG played a #WorldCup Semi Final, @bbceastenders looked like this... https://t.co/JeYtBettzm",18
@BBC,0.3612,Wed Jul 11 11:02:02 +0000 2018,0.0,0.884,0.116,"🤔 Game Boys, Vanilla Ice and a new TV programme called 'The Simpsons'... 

This is what #England looked like last t… https://t.co/YTCXpNJvqb",19
@BBC,0.0,Wed Jul 11 09:53:20 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: Just hold on...it's coming home.

#WorldCup #ThreeLions https://t.co/TCTpYhNV1s",20
@BBC,0.5719,Wed Jul 11 09:32:05 +0000 2018,0.0,0.829,0.171,"This will give you goosebumps. 

The last time England won a #WorldCup semi-final it was a 2-1 victory over Portuga… https://t.co/2gRGni9S3y",21
@BBC,-0.2732,Wed Jul 11 09:04:05 +0000 2018,0.095,0.905,0.0,"In this city, a six-figure salary is considered 'low income' and not enough for a family of four to get by on.… https://t.co/1qyDWTPSrG",22
@BBC,0.5859,Wed Jul 11 08:00:00 +0000 2018,0.0,0.798,0.202,"#BluePlanet2 ✅ 
That unforgettable concert ✅ 
Brilliant Bedtime Stories ✅
A new Doctor ✅
and so much more. Here are… https://t.co/ZVSKIHOXDk",23
@BBC,0.5018,Wed Jul 11 07:39:04 +0000 2018,0.0,0.755,0.245,"RT @BBCSport: More of this please! 😊

#ENGCRO #ENG #ThreeLions #bbcworldcup https://t.co/706Vsdfy2Y",24
@BBC,-0.8402,Wed Jul 11 07:33:03 +0000 2018,0.429,0.571,0.0,"💈⚽️🙌🏾 Dead trims, missed penalties, 30 yard screamers, calling players out, football coming home...… https://t.co/ZrrQJ1Qn9h",25
@BBC,0.0,Wed Jul 11 07:03:05 +0000 2018,0.0,1.0,0.0,"🌡🔥☀️ This one goes out to all the gingers braving the sun today... 

https://t.co/4Ed3y2Xp0f",26
